Time,IL2,Rede,Bus,HIL0 digital input 29
0.033934,1.6269741,305.69806,400.0,1
0.033935,1.6270958,305.67657,400.0,1
0.033936,1.6282784,305.65475,400.0,1
0.033937,1.6303959,305.6333,400.0,1
0.033938,1.6317078,305.6117,400.0,1
0.033939,1.6311806,305.58914,400.0,1
0.03394,1.6296847,305.567,400.0,1
0.033941,1.627775,305.54443,400.0,1
0.033942,1.625901,305.52228,400.0,1
0.033943,1.6244224,305.49973,400.0,1
0.033944,1.6236236,305.47754,400.0,1
0.033945,1.6237247,305.455,400.0,1
0.033946,1.6248924,305.4328,400.0,1
0.033947,1.6269405,305.41028,400.0,1
0.033948,1.6282203,305.3881,400.0,1
0.033949,1.6276085,305.3659,400.0,1
0.03395,1.626058,305.34335,400.0,1
0.033951,1.6241211,305.3212,400.0,1
0.033952,1.6222444,305.29865,400.0,1
0.033953,1.6207855,305.27646,400.0,1
0.033954,1.6200264,305.25394,400.0,1
0.033955,1.6201854,305.23135,400.0,1
0.033956,1.6214275,305.20847,400.0,1
0.033957,1.6234927,305.18518,400.0,1
0.033958,1.624829,305.16226,400.0,1
0.033959,1.6241724,305.139,400.0,1
0.03396,1.6225587,305.11612,400.0,1
0.033961,1.6205469,305.09283,400.0,1
0.033962,1.6185896,305.06995,400.0,1
0.033963,1.6170492,305.04666,400.0,1
0.033964,1.6162113,305.02377,400.0,1
0.033965,1.6162975,305.00085,400.0,1
0.033966,1.6174749,304.9776,400.0,1
0.033967,1.6192955,304.9547,400.0,1
0.033968,1.619835,304.93143,400.0,1
0.033969,1.6184431,304.90854,400.0,1
0.03397,1.6162031,304.88525,400.0,1
0.033971,1.613663,304.86237,400.0,1
0.033972,1.6112658,304.83884,400.0,1
0.033973,1.6093652,304.81482,400.0,1
0.033974,1.6082399,304.79123,400.0,1
0.033975,1.6081047,304.7672,400.0,1
0.033976,1.6090685,304.7436,400.0,1
0.033977,1.6107947,304.7196,400.0,1
0.033978,1.6114076,304.69598,400.0,1
0.033979,1.610318,304.67197,400.0,1
0.03398,1.608615,304.64838,400.0,1
0.033981,1.6067997,304.62476,400.0,1
0.033982,1.6052742,304.60074,400.0,1
0.033983,1.604358,304.57712,400.0,1
0.033984,1.6043006,304.55313,400.0,1
0.033985,1.6052926,304.5295,400.0,1
0.033986,1.6072749,304.5055,400.0,1
